Russia 1|147.45.146.97:1080
Russia 2|194.190.169.197:3701
Russia 3|185.200.188.234:10001
Russia 4|185.21.141.238:1080
Finland|65.109.179.84:8443
Netherlands|140.82.59.192:1080
United Kingdom|104.194.146.9:80
Sweden|62.60.149.161:1080
Lithuania|86.100.63.246:4145
Austria|152.53.137.180:1081
Armenia|185.103.100.141:1080
Austria 2|46.224.63.79:9050
Romania|81.12.157.98:5678
Russia 5|78.109.34.192:8080
Romania 2|86.127.175.42:8080
Netherlands 2|15.237.108.20:46113
United States|13.38.217.179:55031
